Rank,City,Continent,Country,Population,Index Score,Safe and Connected Infrastructure,Usage and Reach,Policy and Support,Protected_km,Infra_density (km of bicycle infra/100 km of roadway),Score Bicycle Infrastructure,Public_spaces,Enclosed_spaces,Parking_density (stands/1K pop),Score Bicycle Parking,Street_km_total,Street_Km_30,Traffic_30 (% of km of roadway),Traffic Calming,Bike_trips_women_%,Score Women Modal Share,"Modal_share_2024_% 
46,Glasgow,Europe,United Kingdom,631970,44.26419056,46.24907628,42.17115252,55.83333333,241.4,13.22739726,24.55575129,,1550.0,,,1825.0,340.0,18.63013699,19.8115188,31.0,45.0,3.0,4.347826087,1.0,2.0,64.28571429,0.4,0.063294144,96.8781113,1,0,1,66.66666667,1,1,1,0,75,1,1,0,66.66666667,,,,1189.0,470372.0,0,1.881418422,1.083843912,1,1,22.22222222,67.6,1,0,1,1,3.704109589,6,90,55.861155,-4.2501687
47,Wellington,Oceania,New Zealand,209905,44.19300564,39.66190506,31.78302277,74.32110852,37.4,5.342857143,9.27794506,650.0,,,,700.0,60.0,8.571428571,9.031580257,39.2,58.66666667,2.1,2.391304348,2.4,-0.3,47.85714286,0.0,0.0,100.0,0,0,1,33.33333333,0,0,1,1,50,1,1,1,100.0,56133880.0,53.48503371,83.95110076,200.0,29793.0,0,0.952811986,0.408123288,0,0,0.0,14.4,1,1,0,1,2.057142857,5,80,-41.2887953,174.7772114
48,Fukuoka,Asia,Japan,1669707,43.3254652,24.91243514,48.22705314,56.88340154,61.0,1.541377132,1.91184962,51511.0,64473.0,100.3140072,17.75950691,3957.5,,,,56.0,86.66666667,12.0,23.91304348,12.0,0.0,50.0,8.5,0.509071352,74.89081917,1,1,1,100.0,0,0,1,0,25,1,1,0,66.66666667,164300000.0,19.68009956,30.8669395,4700.0,9600000.0,0,2.814865123,5.596036141,1,4,55.55555556,,1,1,1,0,,0,30,33.6251241,130.6180016
49,Dublin,Europe,Ireland,592713,43.08947333,35.30316207,50.06280193,55.83333333,92.4,9.638051528,17.60070664,6832.0,508.0,23.91039171,4.233075506,958.7,580.0,60.49859184,64.6820282,31.0,45.0,6.0,10.86956522,6.0,0.0,50.0,,,,0,0,1,33.33333333,1,1,1,1,100,1,1,1,100.0,,,,1600.0,2000000.0,0,2.699451505,3.424657534,1,3,44.44444444,23.7,1,1,1,1,2.472097632,5,90,53.3493795,-6.2605593
50,Vilnius,Europe,Lithuania,633350,42.87415603,38.50047705,39.06832298,62.38000705,180.7,7.482401656,13.42372224,3900.0,806.0,13.58806347,2.405619254,2415.0,104.0,4.306418219,4.46075987,38.0,56.66666667,4.64,7.913043478,1.5,3.14,72.42857143,1.0,0.157890582,92.21228389,0,0,1,33.33333333,0,0,1,0,25,1,1,1,100.0,73050000.0,23.067814,36.18669487,2030.0,485000.0,1,3.205178811,0.654565085,2,0,33.33333333,40.0,1,1,1,1,1.6563147,4,80,54.6870458,25.2829111
51,Bogotá,South America,Colombia,7940000,42.6535582,35.67442711,34.77508627,65.56217243,471.8,6.142029552,10.82649463,21452.0,42356.0,10.73803526,1.901052673,7681.5,3692.7,48.07264206,51.3651122,26.7,37.83333333,6.7,12.39130435,6.5,0.2,51.42857143,73.6,0.926952141,54.27947607,1,1,1,100.0,0,0,1,1,50,1,1,1,100.0,57783000.0,1.455491184,2.2486897,3000.0,1668348.0,1,0.377833753,1.523605479,0,1,22.22222222,40.8,1,1,1,1,0.53114626,2,60,4.6533817,-74.0836331
52,Seville,Europe,Spain,687488,42.36886262,42.66145519,39.47922705,40.02295072,185.87,14.8339984,27.66884864,3051.0,312.0,9.32961739,1.651707565,1253.0,890.0,71.02952913,75.9680554,41.0,61.66666667,3.38,5.173913043,3.38,0.0,50.0,1.67,0.242913331,88.01866433,1,0,1,66.66666667,0,0,1,0,25,1,1,0,66.66666667,14875174.0,4.327398878,6.75846956,4000.0,3406061.0,0,5.818283374,2.332918493,3,2,55.55555556,2.4,1,0,0,0,0.191540303,1,20,37.3886303,-5.9953403
53,Poznań,Europe,Poland,716800,42.12786828,47.66863558,26.19875776,62.08133022,250.28,23.26022305,43.99627237,,,,,1076.0,328.9,30.5669145,32.60418787,,,10.0,19.56521739,8.4,1.6,61.42857143,1.2,0.167410714,91.74271763,1,1,0,66.66666667,0,1,1,0,50,1,1,1,100.0,26693357.0,7.44792327,11.65865423,0.0,0.0,0,0.0,0.0,0,0,0.0,17.13,1,1,1,0,1.592007435,4,70,52.4006632,16.9197326
54,San Francisco,North America,United States,836321,41.85214813,37.92476425,34.84334023,62.5593508,252.67,11.15068227,20.53171835,10336.0,570.0,25.39933829,4.496677349,2265.96,88.51,3.906070716,4.031706625,35.0,51.66666667,2.1,2.391304348,2.0,0.1,50.71428571,1.6,0.191314101,90.56371895,0,0,1,33.33333333,0,0,1,0,25,1,1,1,100.0,125000000.0,29.89282823,46.90406986,3630.0,3035054.0,0,4.340438659,2.290693234,2,2,44.44444444,32.2,1,1,0,1,1.421031263,4,70,37.7879363,-122.4075201
55,Toronto,North America,Canada,2794356,41.64511999,34.45667805,45.89095928,49.91209331,110.0,1.903114187,2.61278443,10013.0,18150.0,13.66182405,2.418677764,5780.0,666.0,11.52249135,12.19424032,30.0,43.33333333,4.4,7.391304348,3.1,1.3,59.28571429,2.8,0.100201979,95.05768771,0,0,1,33.33333333,0,1,1,1,75,1,1,1,100.0,56516060.0,4.045015023,6.31503991,9000.0,6900000.0,0,3.220777882,2.100456621,2,2,44.44444444,24.9,1,1,1,1,0.430795848,2,60,43.6534817,-79.3839347
56,Zaragoza,Europe,Spain,686986,41.51251799,47.03071046,26.22222222,55.84951762,160.0,14.29592566,26.62622967,11748.0,257.0,34.57566821,6.121247029,1119.2,548.9,49.04395997,52.4060756,41.0,61.66666667,,,3.4,,,0.0,0.0,100.0,1,0,1,66.66666667,0,0,1,0,25,1,1,1,100.0,14805108.0,4.310162944,6.731403833,2500.0,1416275.0,1,3.639084348,1.552082192,2,1,44.44444444,20.87,1,0,0,0,1.864724803,4,50,41.6521342,-0.8809428
57,Budapest,Europe,Hungary,1682426,41.15227278,38.14785462,34.91373361,52.41790125,221.0,4.58411118,7.80772947,13000.0,240.0,15.59652549,2.76119567,4821.0,2025.0,42.00373367,44.86105055,,,5.0,8.695652174,2.0,3.0,71.42857143,1.6,0.095100765,95.30929741,0,1,1,66.66666667,0,0,1,1,50,1,1,1,100.0,16295000.0,1.937083711,3.004938338,2460.0,3600000.0,0,1.462174265,4.009355162,1,3,44.44444444,6.0,1,1,0,1,0.124455507,1,40,47.4978789,19.0402383
58,Seoul,Asia,South Korea,9602826,40.63646278,45.79992009,33.07798482,40.9711229,1099.2,13.19567827,24.49428968,123529.0,0.0,25.72763476,4.554798678,8330.0,6247.5,75.0,80.22321722,38.0,56.66666667,1.8,1.739130435,1.6,0.2,51.42857143,20.0,0.208272023,89.72729486,0,0,1,33.33333333,0,0,0,0,0,1,1,1,100.0,17980000.0,0.374473098,0.551158265,45000.0,43850000.0,1,4.686120523,2.669710807,2,2,55.55555556,,1,1,0,1,,0,30,37.5666791,126.9782914
59,Kyoto,Asia,Japan,1463723,40.35381766,29.8781408,41.24637681,54.74426039,45.0,1.237283475,1.322609932,0.0,59250.0,40.47897041,7.166362653,3637.0,,,,56.0,86.66666667,21.5,44.56521739,21.5,0.0,50.0,2.7,0.184461131,90.90173141,0,1,1,66.66666667,0,0,1,0,25,1,1,1,100.0,10939671.0,1.494773396,2.310374876,,,0,,,0,0,0.0,5.0,1,1,1,1,0.137475942,1,50,35.0115754,135.7681441
60,Singapore,Asia,Singapore,6040000,40.07164791,45.06723107,22.3236715,68.49422749,730.0,20.33426184,38.32666225,100000.0,0.0,33.11258278,5.862223624,3590.0,15.0,0.417827298,0.293348962,28.0,40.0,2.0,2.173913043,,,,11.2,0.185430464,90.85392053,0,1,1,66.66666667,0,0,1,0,25,1,1,1,100.0,333618050.0,11.0469553,17.3102433,55000.0,12800000.0,0,9.105960265,0.637608966,4,0,44.44444444,230.0,1,1,1,0,6.406685237,6,90,1.357107,103.8194992
61,Bristol,Europe,United Kingdom,494399,39.48989743,42.3515111,20.32222222,60.0,8.623,0.705069501,0.291343447,328.0,1286.0,3.928001472,0.695410055,1223.0,946.0,77.35077678,82.74254954,13.3,15.5,,,10.0,,,1.2,0.242718938,88.02825248,1,1,1,100.0,0,1,1,1,75,1,1,1,100.0,,,,502.0,,0,1.015374222,,1,0,11.11111111,,1,1,1,1,,0,40,51.4538022,-2.5972985
62,Warsaw,Europe,Poland,1862000,39.36908999,53.29275277,28.22222222,46.05582374,639.0,25.256917,47.86524923,31500.0,45000.0,58.00214823,10.26865122,2530.0,785.0,31.02766798,33.09797833,32.0,46.66666667,,,,,,1.8,0.096670247,95.23188507,0,0,0,0.0,0,1,1,0,50,1,1,1,100.0,25257609.0,2.71295478,4.223294946,3470.0,4790000.0,0,1.86358754,3.781927283,1,3,44.44444444,37.8,1,1,1,1,1.494071146,4,80,52.2333742,21.0711489
63,Gdansk,Europe,Poland,488651,38.89908312,53.78513902,33.03795721,35.39314986,137.9,14.36458333,26.75926706,9625.0,500.0,40.41739401,7.15546122,960.0,619.9,64.57291667,69.04849051,34.0,50.0,4.3,7.173913043,5.9,-1.6,38.57142857,0.4,0.081858013,95.96247629,1,0,1,66.66666667,0,0,1,0,25,0,0,0,0.0,7690562.0,3.147670628,4.905932755,2226.0,1988876.0,0,4.555398434,2.447877512,2,2,44.44444444,7.9,1,1,1,1,0.822916667,3,70,54.4288032,18.798327
64,Washington D.C.,North America,United States,702250,38.79019901,33.05584426,32.88336784,61.14413167,68.4,3.695299838,6.085487302,12000.0,0.0,34.1758633,6.050465906,1851.0,,,,27.0,38.33333333,1.9,1.956521739,2.8,-0.9,43.57142857,2.4,0.341758633,83.14326807,0,0,1,33.33333333,0,0,1,0,25,1,1,1,100.0,92303325.0,26.28788181,41.24319336,15231.0,9202489.0,0,21.68885724,1.65532786,4,1,55.55555556,27.0,1,1,1,0,1.458670989,4,70,38.8950368,-77.0365427
65,Brno,Europe,Czech Republic,402739,38.65830803,37.5368977,35.24706694,47.15954529,41.46,4.113095238,6.895045891,249.0,6.0,1.251430827,0.221552254,1008.0,312.0,30.95238095,33.01729307,25.0,35.0,5.0,8.695652174,2.0,3.0,71.42857143,0.2,0.049659953,97.55059729,0,0,1,33.33333333,0,0,1,1,50,1,1,1,100.0,6850000.0,3.401706813,5.304847829,650.0,200000.0,0,1.613948488,0.842992624,1,0,11.11111111,7.7,0,1,0,1,0.763888889,3,50,49.1922443,16.6113382
66,Lisbon,Europe,Portugal,591129,37.03098062,34.77579747,32.3436853,51.45133355,173.0,14.25041186,26.53803797,2466.0,240.0,8.749359277,1.54897916,1214.0,77.1,6.350906096,6.651841742,14.0,16.66666667,1.9,1.956521739,1.7,0.2,51.42857143,2.5,0.422919532,79.14012847,0,0,1,33.33333333,0,0,1,0,25,1,1,1,100.0,23544304.0,7.965876822,12.47200088,3050.0,3152573.0,1,5.15961829,2.831864361,3,2,66.66666667,7.0,1,1,1,1,0.57660626,2,60,38.7077507,-9.1365919
67,Ottawa,North America,Canada,1017449,35.95399802,30.49051461,33.78467909,49.00650143,54.9,0.55471355,0.0,2480.0,70.0,4.943736738,0.875234967,9897.0,339.0,3.425280388,3.516442639,33.0,48.33333333,3.9,6.304347826,1.9,2.0,64.28571429,0.4,0.03931401,98.06089544,0,0,1,33.33333333,0,1,1,0,50,1,1,1,100.0,41239265.0,8.10640435,12.69267239,0.0,0.0,0,0.0,0.0,0,0,0.0,3.5,1,1,1,1,0.035364252,1,50,45.4208777,-75.6901106
68,Lodz,Europe,Poland,645693,35.65187645,55.48489234,9.879227053,54.16344922,260.4,20.2173913,38.10020322,2496.0,554.0,8.589221193,1.520628449,1288.0,770.0,59.7826087,63.91470758,,,2.0,2.173913043,,,,0.8,0.12389789,93.88892244,1,0,1,66.66666667,0,0,1,0,25,1,1,0,66.66666667,6902509.0,2.138015744,3.320463533,1350.0,547831.0,0,2.090776886,1.111782851,1,1,22.22222222,41.8,1,1,1,0,3.245341615,5,80,51.7687323,19.4569911
69,Fortaleza,South America,Brazil,2578483,35.51331892,30.53083584,34.15113872,52.06581829,166.6,3.786363636,6.261940849,704.0,224.0,0.632930293,0.112053443,4400.0,,,,19.0,25.0,5.4,9.565217391,5.0,0.4,52.85714286,12.4,0.480902918,76.2801849,1,0,0,33.33333333,0,1,1,0,50,1,1,1,100.0,40778177.0,3.162958763,4.929939837,993.0,1075980.0,1,0.38511016,2.968671109,0,2,33.33333333,63.54,1,1,1,0,1.444090909,4,70,-3.7304512,-38.5217989
70,Philadelphia,North America,United States,1573916,35.40134126,27.73085787,30.97929607,56.66666667,48.0,1.158301158,1.169566569,3000.0,0.0,3.812147535,0.674899372,4144.0,,,,33.0,48.33333333,1.5,1.086956522,1.9,-0.4,47.14285714,7.4,0.470164863,76.8098234,0,1,1,66.66666667,0,0,1,0,25,1,1,1,100.0,,,,2200.0,1300000.0,1,1.39778743,1.618929016,1,1,33.33333333,16.0,1,1,1,1,0.386100386,2,60,39.9527237,-75.1635262
71,Nagoya,Asia,Japan,2337864,35.17832542,24.39255425,40.27536232,40.9946619,86.7,1.373356566,1.5862776,0.0,95800.0,40.97757611,7.254635385,6313.0,,,,63.0,98.33333333,13.9,28.04347826,13.9,0.0,50.0,8.0,0.342192702,83.12185824,0,1,1,66.66666667,0,0,1,0,25,1,1,0,66.66666667,1015646.0,0.434433312,0.645314273,,,0,,,0,0,0.0,,1,1,1,0,,0,30,35.1851045,136.8998438
72,Tokyo,Asia,Japan,9873999,34.99195829,26.09503359,38.2173913,40.83333333,111.0,0.926776321,0.720942864,0.0,525149.0,53.18503678,9.415833888,11977.0,,,,58.0,90.0,13.0,26.08695652,13.0,0.0,50.0,27.8,0.195882466,90.33839119,0,1,1,66.66666667,0,0,1,0,25,1,1,0,66.66666667,,,,,,0,,,0,0,0.0,,1,1,1,0,,0,30,35.6768601,139.7638947
73,Guadalajara,South America,Mexico,1385629,34.85824611,30.60205109,26.5589372,54.3380645,129.05,4.763750461,8.155814975,1321.0,494.0,2.263232077,0.400680691,2709.0,331.6,12.24067922,12.96392374,34.0,50.0,2.03,2.239130435,,,,5.2,0.375280829,81.48983602,1,0,1,66.66666667,0,0,1,0,25,1,1,1,100.0,3187518.0,0.460082461,0.685591339,2760.0,4645508.0,1,1.99187517,4.61138376,1,3,55.55555556,20.77,1,0,0,1,0.766703581,3,50,20.6720375,-103.338396
74,Osaka,Asia,Japan,2788758,34.7608248,31.67342465,44.56521739,27.67437804,240.0,6.528835691,11.57600559,0.0,218416.0,78.32016977,13.86573655,3676.0,,,,64.0,100.0,23.0,47.82608696,23.0,0.0,50.0,4.0,0.143433026,92.92538112,0,1,1,66.66666667,0,0,1,0,25,0,0,0,0.0,14447995.0,2.590399561,4.030845497,,,0,,,0,0,0.0,,1,1,1,1,,0,40,34.6937569,135.5014539
75,Buenos Aires,South America,Argentina,3121707,32.90871404,36.44464409,29.11801242,37.5,311.9,12.476,23.09977522,1351.0,0.0,0.865552084,0.153236608,2500.0,434.0,17.36,18.45031038,23.0,31.66666667,3.9,6.304347826,4.0,-0.1,49.28571429,6.0,0.192202535,90.51989825,0,0,1,33.33333333,0,0,1,0,25,1,1,0,66.66666667,366578.19,0.023485753,0.0,4000.0,3462480.0,0,1.281350236,2.371561644,1,2,33.33333333,31.6,1,0,0,0,1.264,4,50,-34.6095579,-58.3887904
76,Santiago,South America,Chile,436856,31.65689167,27.97389488,34.33402346,32.5,59.61,10.30958146,18.90192447,,0.0,,,578.2,,,,19.0,25.0,7.5,14.13043478,4.5,3.0,71.42857143,0.8,0.183126705,90.96754995,0,0,1,33.33333333,0,1,1,0,50,1,1,0,66.66666667,,,,1225.0,420000.0,0,2.804127676,0.939334638,1,0,11.11111111,0.1,1,0,0,1,0.017295054,1,30,-33.4376995,-70.6510671
77,Luxembourg City,Europe,Luxembourg,136208,31.64110234,46.71131052,15.55555556,42.5,25.5,6.52173913,11.56225465,230.0,860.0,9.691060731,1.715697188,391.0,184.0,47.05882353,50.27860078,,,,,,,,0.0,0.0,100.0,0,0,1,33.33333333,0,0,0,0,0,1,1,0,66.66666667,,,,1708.0,1575941.0,1,12.53964525,2.527896121,4,2,77.77777778,10.0,1,0,1,0,2.557544757,5,70,49.5999681,6.1342493
78,Gothenburg,Europe,Sweden,608993,30.08060373,25.89184375,45.00207039,16.64456946,545.0,,,12700.0,600.0,42.69342997,7.5584087,,,,,40.0,60.0,9.0,17.39130435,7.0,2.0,64.28571429,1.0,0.1642055,91.90081003,0,0,0,0.0,0,1,1,0,50,0,0,0,0.0,71000000.0,23.31718099,36.57827785,2256.0,666000.0,0,3.704476078,1.042661448,2,1,33.33333333,,1,1,0,1,,0,30,57.7072326,11.9670171
79,Milan,Europe,Italy,1407044,29.49517852,35.21711511,20.94202899,40.66040007,120.0,6.168080185,10.87697272,8058.0,358.0,11.70823372,2.072815785,1945.5,362.0,18.60704189,19.78676774,,,7.0,13.04347826,,,,4.75,0.337587169,83.34901929,0,0,0,0.0,0,0,1,0,25,1,1,1,100.0,12000000.0,1.705703589,2.641600261,14630.0,5675159.0,1,10.39768479,1.062773809,4,1,66.66666667,17.0,1,1,0,1,0.87381136,3,60,45.4641943,9.1896346
80,Canberra,Oceania,Australia,473855,28.34988427,27.91820283,17.75362319,47.54734136,,,,1548.0,,,,2730.0,,,,27.0,38.33333333,1.2,0.434782609,1.2,0.0,50.0,1.0,0.211035021,89.59101413,0,0,1,33.33333333,0,0,0,0,0,1,1,1,100.0,10400000.0,4.389528442,6.856032116,55.0,,0,0.116069262,,0,0,0.0,1.0,1,1,1,1,0.036630037,1,50,-35.2975906,149.1012676
81,Mexico City,South America,Mexico,9354487,28.05246751,31.09598709,35.08605935,23.44296134,540.0,4.045225622,6.763535515,,2276.0,,,13349.07,,,,23.0,31.66666667,2.64,3.565217391,1.29,1.35,59.64285714,21.4,0.228767222,88.71639995,0,0,1,33.33333333,0,0,1,0,25,0,0,0,0.0,14159793.0,0.302737991,0.438512046,9308.0,22240000.0,1,0.995030513,6.546143839,0,4,55.55555556,61.23,1,1,1,1,0.458683639,2,60,19.3207722,-99.1514678
82,Medellín,South America,Colombia,2630000,27.9823005,29.40754387,23.11890959,35.28440979,80.0,3.771805752,6.23373216,302.0,210.0,0.309505703,0.054794628,2121.0,55.0,2.593116455,2.624610836,11.1,11.83333333,2.0,2.173913043,1.0,1.0,57.14285714,1.0,0.038022814,98.12458175,0,0,1,33.33333333,0,0,0,0,0,1,1,0,66.66666667,9835602.0,0.747954525,1.137639167,920.0,1525700.0,1,0.349809886,4.543478261,0,3,44.44444444,0.45,1,1,1,0,0.021216407,1,40,6.2697325,-75.6025597
83,Quelimane,Africa,Mozambique,347907,27.36189529,2.0,29.06832298,52.59075596,16.4,,,0.0,0.0,0.0,0.0,,13.0,,,,,12.0,23.91304348,9.0,3.0,71.42857143,,,,1,1,1,100.0,0,1,1,0,50,1,1,1,100.0,443000.0,0.254665758,0.363023831,0.0,0.0,0,0.0,0.0,0,0,0.0,16.4,1,0,0,0,,0,10,-17.87751,36.890216
84,Novi Sad,Europe,Serbia,260438,27.10286855,4.171847035,38.24416839,40.06430351,140.0,,,632.0,0.0,4.853362413,0.859235173,,,,,51.6,79.33333333,9.9,19.34782609,9.0,0.9,56.42857143,,,,1,0,0,33.33333333,0,0,1,0,25,1,1,1,100.0,5772264.0,4.432735622,6.9238807,300.0,,0,1.151905636,,1,0,11.11111111,,1,1,0,0,,0,20,45.2551338,19.8451756
85,Dubai,Asia,United Arab Emirates,3863600,25.82178845,33.28208612,25.66839199,22.73271481,560.5,12.1241618,22.41802134,1500.0,0.0,0.776477896,0.137466989,4623.0,72.0,1.55743024,1.514663784,,,1.84,1.826086957,0.85,0.99,57.07142857,6.0,0.155295579,92.3402785,0,0,0,0.0,0,0,1,0,25,1,0,0,33.33333333,93918800.0,4.861724816,7.597525898,2000.0,3544495.0,1,0.517651931,4.855472603,0,3,44.44444444,17.3,1,1,1,0,0.374215877,2,50,25.0742823,55.1885387
86,Lima,South America,Peru,10292408,25.54145956,28.07790742,11.6,43.41235928,142.98,0.831071302,0.535496063,837.0,74.0,0.16983392,0.030067253,17204.3,812.0,4.719750295,4.903728707,23.8,33.0,1.0,0.0,,,,10.6,0.102988533,94.9202451,0,0,1,33.33333333,0,0,1,0,25,1,1,1,100.0,11567958.0,0.224786231,0.316103768,640.0,,0,0.062181756,,0,0,0.0,11.86,1,1,1,0,0.068936254,1,40,-12.0459808,-77.0305912
87,Ahmedabad,Asia,India,8159000,23.39775381,28.09502947,12.73913043,35.0,127.01,3.904395942,6.490651043,,,,,3253.0,90.0,2.766676914,2.810615937,4.0,0.0,18.8,38.69565217,,,,14.6,0.178943498,91.17388038,0,1,0,33.33333333,0,0,1,0,25,1,1,0,66.66666667,,,,2500.0,424313.0,0,0.306410099,0.465000548,0,0,0.0,43.98,0,0,0,0,1.351982785,4,40,23.0215374,72.5800568
88,Rosario,South America,Argentina,1030069,23.13993451,21.49716306,18.66666667,27.5,196.0,8.558951965,15.5097446,290.0,420.0,0.970808752,0.17187116,2290.0,3.3,0.144104803,0.0,40.0,60.0,,,5.3,,,3.8,0.368907326,81.80419952,0,0,1,33.33333333,0,0,0,0,0,1,1,0,66.66666667,,,,640.0,808453.0,0,0.621317601,3.460843322,0,3,33.33333333,,1,0,0,0,,0,10,-32.9593609,-60.6617024
89,Cali,South America,Colombia,2290000,23.03960526,21.56964035,11.66666667,45.83333333,112.2,3.578947368,5.860032113,390.0,806.0,0.692576419,0.122613143,3135.0,33.0,1.052631579,0.973670018,24.0,33.33333333,,,4.5,,,22.8,0.995633188,50.89188646,1,0,1,66.66666667,0,0,1,0,25,1,1,0,66.66666667,,,,0.0,0.0,0,0.0,0.0,0,0,0.0,8.91,1,1,1,0,0.284210526,2,50,3.4108435,-76.5812127
90,Zagreb,Europe,Croatia,767131,21.82846816,27.58688984,2.222222222,43.68113144,197.73,7.791394121,14.02245431,2161.0,70.0,5.725228155,1.013589546,2537.8,25.0,0.985105209,0.901301869,,,,,3.0,,,2.8,0.36499633,81.99710349,0,1,1,66.66666667,0,0,0,0,0,1,1,0,66.66666667,3488228.0,0.909421728,1.391192422,2300.0,70307.0,0,2.998184143,0.08374866,1,0,11.11111111,5.8,0,1,1,1,0.228544409,1,40,45.8130967,15.9772795
91,Leon,South America,Mexico,1924771,21.60961706,22.4800477,20.20496894,21.87498464,245.0,,,436.0,84.0,0.496682462,0.087932243,,,,,4.0,0.0,6.4,11.73913043,4.4,2.0,64.28571429,3.0,0.155862697,92.31230624,0,0,1,33.33333333,0,0,1,0,25,1,0,0,33.33333333,5332848.0,0.55412805,0.833271887,0.0,0.0,0,0.0,0.0,0,0,0.0,29.0,1,0,0,1,,0,20,21.121965,-101.6829766
92,Curitiba,South America,Brazil,1773718,20.15337001,23.69950466,8.618888889,37.60046061,117.99,2.442857143,3.658639759,1468.0,10.0,1.660917914,0.294047501,4830.0,,,,23.19,31.98333333,,,2.1,,,12.75,0.718829036,64.54483604,1,0,0,33.33333333,0,0,0,0,0,1,1,0,66.66666667,2477761.0,0.279386126,0.401842424,780.0,466279.0,0,0.439754234,1.637790657,0,1,11.11111111,15.58,1,1,0,1,0.322567288,2,50,-25.4295963,-49.2712724
93,Rio de Janeiro,South America,Brazil,6730660,19.6569717,4.663681983,19.77777778,38.33333333,91.0,0.983252296,0.830375879,64.08,14487.0,2.171430439,0.384428207,9255.0,195.0,2.106969206,2.103605827,35.0,51.66666667,,,1.0,,,,,,0,0,1,33.33333333,0,0,1,0,25,1,1,1,100.0,,,,6700.0,5000000.0,0,0.995444726,2.044571662,0,2,22.22222222,7.78,1,0,0,0,0.084062669,1,20,-22.9110137,-43.2093727
94,Kisumu,Africa,Kenya,567983,19.21484313,4.0,25.95859213,30.0,10.5,,,0.0,0.0,0.0,0.0,,,,,27.0,38.33333333,4.3,7.173913043,3.0,1.3,59.28571429,,,,1,0,0,33.33333333,0,0,1,0,25,1,1,0,66.66666667,,,,0.0,0.0,0,0.0,0.0,0,0,0.0,10.5,1,0,1,0,,0,20,-0.1029109,34.7541761
95,Córdoba,South America,Argentina,1505250,18.3897575,20.88100236,20.26570048,10.83333333,111.0,2.361702128,3.501386377,334.0,0.0,0.443780103,0.078566454,4700.0,,,,,,8.0,15.2173913,8.0,0.0,50.0,2.8,0.186015612,90.82505896,0,0,0,0.0,0,0,1,0,25,1,0,0,33.33333333,,,,210.0,110000.0,0,0.139511709,1.435094586,0,1,11.11111111,2.18,0,0,0,0,0.046382979,1,10,-31.4166867,-64.1834193
96,Aguascalientes,South America,Mexico,895848,17.28850557,17.26658671,0.80884058,33.593359,96.9,3.666288309,6.029271909,165.0,300.0,0.7032443,0.124501776,2643.0,,,,4.47,0.783333333,2.5,3.260869565,,,,3.6,0.401853886,80.17915986,0,1,1,66.66666667,0,0,0,0,0,1,1,0,66.66666667,3072048.87,0.685841542,1.040102649,0.0,0.0,0,0.0,0.0,0,0,0.0,,0,0,0,0,,0,0,21.880487,-102.2967195
97,Riga,Europe,Latvia,591882,16.39815354,6.071786939,21.4068323,26.44572497,164.0,,,600.0,0.0,2.027431143,0.358934693,,,,,,,9.0,17.39130435,3.45,5.55,89.64285714,12.0,2.027431143,0.0,0,0,0,0.0,0,0,0,0,0,1,1,0,66.66666667,17250000.0,5.828864537,9.116233217,250.0,11300.0,0,0.422381488,0.123835616,0,0,0.0,31.0,1,1,1,0,,0,30,56.9493977,24.1051846
98,Addis Ababa,Africa,Ethiopia,5005524,15.49293812,8.138781977,12.14285714,35.0,60.0,0.912825194,0.693909883,0.0,0.0,0.0,0.0,6573.0,,,,,,1.0,0.0,3.0,-2.0,35.71428571,,,,1,0,0,33.33333333,0,0,1,0,25,1,1,0,66.66666667,,,,0.0,0.0,0,0.0,0.0,0,0,0.0,60.0,1,0,0,0,0.912825194,3,40,9.0358287,38.7524127
99,Nairobi,Africa,Kenya,4397073,14.16794465,4.000322104,12.71014493,30.15773633,20.0,,,0.0,40.0,0.009096961,0.001610518,,,,,27.0,38.33333333,1.1,0.217391304,,,,,,,1,0,0,33.33333333,0,0,1,0,25,1,1,0,66.66666667,9350000.0,0.42528291,0.630945323,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,0,1,0,,0,20,-1.2890006,36.8172812
100,Ouagadougou,Africa,Burkina Faso,3204000,11.86348936,3.671159296,7.173913043,27.5,111.94,4.866956522,8.355796479,0.0,0.0,0.0,0.0,2300.0,,,,,,6.0,10.86956522,13.0,-7.0,0.0,,,,1,0,0,33.33333333,0,0,1,0,25,1,1,0,66.66666667,,,,0.0,0.0,0,0.0,0.0,0,0,0.0,,0,0,1,0,,0,10,12.3681873,-1.5270944
